assessment_number,mean,median,q90
1,4.847276810780458,4,9
2,4.724511930585684,4,9
3,4.083741163675912,3,8
4,5.802887284841754,5,12
5,5.196561604584526,4,11
6,3.602193995381064,3,7
7,3.914578587699316,3,8
8,5.45361990950226,4,11
9,4.219512195121952,3,8
10,3.966111771700358,3,8
11,3.301767676767677,3,6
